task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate,action_2_rate
CartPole-v1,17,4,0.004,0.029218300380357345,1.0,0.0,0.0,0.0,0.0,0.9498198176266645,-0.055829061777330935,0.03155488484576526,-0.4066423028707504,0.021192736789504108,0.011667629587464035,0.030312627686951362,0.5782872959971428,0.05539993129978213,0.25,0.75,
CartPole-v1,18,0,0.0,nan,nan,nan,nan,nan,0.0,0.928126158812214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,19,1,0.001,0.034185133132789855,1.0,0.0,0.0,0.0,0.0,0.9689925058810985,0.13523146510124207,0.0,0.43604910373687744,0.0,-0.00358235789462924,0.0,-0.6143725514411926,0.0,1.0,0.0,
CartPole-v1,20,0,0.0,nan,nan,nan,nan,nan,0.0,0.9624570013893468,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,21,0,0.0,nan,nan,nan,nan,nan,0.0,0.9279473694470061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,22,0,0.0,nan,nan,nan,nan,nan,0.0,0.9771627363885143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,23,8,0.008,0.01871994836723595,1.0,0.0,0.0,0.0,0.0,0.918390795390619,0.0033074671227950603,0.018073614119679483,0.03743555350229144,0.0004104366667604383,-0.0017390248976880684,0.013515784807355474,0.06484997365623713,0.009052138274769184,0.125,0.875,
CartPole-v1,24,19,0.019,0.023220384405700328,1.0,0.0,0.0,0.0,0.0,0.9365683598375275,-0.01776562354184295,0.013271371513195988,-0.2204437216645793,0.010155795456368659,-0.006470022274267026,0.010628260620299467,0.2941029212976757,0.021377822942611688,0.0,1.0,
CartPole-v1,25,0,0.0,nan,nan,nan,nan,nan,0.0,0.9621564793557255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,26,47,0.047,0.022253585647129523,1.0,0.0,0.0,0.0,0.0,0.8998768433457545,0.12174027096083824,0.013207441194543429,-0.15044892183009614,0.002768327578765334,-0.0029021949219973165,0.0063083639377075435,0.2519620482591873,0.024889689051947547,0.0,1.0,
