n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
10,4.0,0.02,1,3,0.0011410857485072623,6.291067148500427e-05,0.0010536220907867509,0.0011989317657484743,0.9984738457518376,7.96918727142919e-05,0.006084816568947293,0.007129399702787612,0.6302371025085449
10,4.0,0.02,10,3,0.057857634517259275,0.0013235815767790645,0.05617233531134486,0.0594057111011944,0.9230691629200962,0.0014141597214504483,0.1339216510369602,0.15695846998102977,0.6302371025085449
10,4.0,0.02,50,3,0.21101137242262924,0.01545339663872989,0.19654015993695637,0.23242968674279496,0.7260346750217418,0.02107777192707394,0.15088352366106328,0.1916229537043105,0.6302371025085449
10,4.0,0.02,100,3,0.3145755215406848,0.02729524951745057,0.27732475905717513,0.3419662601697736,0.5810975419526186,0.03793577383978289,0.11585730364012833,0.1452097565898614,0.6302371025085449
10,4.0,0.02,200,3,0.3248842863570492,0.02726828932927528,0.2867678470586073,0.34901125297408664,0.5175664468137411,0.03746460444765717,0.08699359748828402,0.12651934041924398,0.6302371025085449
10,4.0,0.05,1,3,0.0018738003724129899,0.00026341361903007074,0.001575885167968244,0.0022164458685685223,0.9974776549983349,0.00035114241177165636,0.013112761411543258,0.019124983193857727,0.6729043324788412
10,4.0,0.05,10,3,0.08760651815120914,0.009777636373682458,0.075974468605959,0.09989748131092113,0.8828480228289761,0.012826217247164685,0.08392447974742576,0.10694614248812195,0.6729043324788412
10,4.0,0.05,50,3,0.46318697251061547,0.046576852187705214,0.4011658338341798,0.513410519429931,0.39713588555410484,0.06379922285789814,0.1812801680676226,0.3506892217012056,0.6729043324788412
10,4.0,0.05,100,3,0.9824040155028451,0.49070652342416793,0.6160595399042788,1.6760007159754593,-0.3091108468207545,0.6564460487406889,0.16467413758441463,0.36022211041079316,0.6729043324788412
10,4.0,0.05,200,3,3.9067025391911554,4.524910865951404,0.6557572421189988,10.305616663621848,-4.91793763446815,6.868826573398074,0.33735370453511015,0.9510976938471476,0.6729043324788412
15,0.25,0.0,1,3,0.00012484745915663115,7.34525170534599e-06,0.00011453322611059899,0.0001310730004202986,0.9896481801865494,0.0004916821147908438,7.031412489292658e-16,7.771561172376096e-16,0.591435432434082
15,0.25,0.0,10,3,0.0019434801895337505,0.00010052718839765001,0.0018207592868067796,0.0020669957568259585,0.8398003229102851,0.007572235401635379,4.070817756958907e-15,4.884981308350689e-15,0.591435432434082
15,0.25,0.0,50,3,0.014334214197265582,0.000497750733835084,0.013948481286914532,0.01503702308149965,-0.13970272891163651,0.0516482376365802,1.687538997430238e-14,1.9317880628477724e-14,0.591435432434082
15,0.25,0.0,100,3,0.02121034094888887,0.0002787103340632225,0.021011290028805904,0.021604490277415313,-0.7610585365287948,0.04483396667364036,2.88287912060999e-14,3.086420008457935e-14,0.591435432434082
15,0.25,0.0,200,3,0.022071135248347813,0.001042658792036797,0.020943081738325493,0.02345755332980411,-1.1117160856773627,0.05075347289936118,4.8923827951815234e-14,5.873079800267078e-14,0.591435432434082
15,0.25,0.005,1,3,7.295902873974906e-05,1.0128558714333918e-05,5.870859538745101e-05,8.133940054509445e-05,0.993875493036886,0.0009415874203227442,7.771561172376096e-16,9.992007221626409e-16,0.5823032855987549
15,0.25,0.005,10,3,0.001554863512587138,5.850352275669555e-05,0.0014866675736597754,0.0016295321450695126,0.8707372983381904,0.003471488710836334,2.7385501274087196e-15,3.552713678800501e-15,0.5823032855987549
15,0.25,0.005,50,3,0.013331157816391836,0.0008267130337030618,0.012163171751846153,0.013960295891715897,-0.06568607079671747,0.06913894617771599,1.2915594519805987e-14,1.6764367671839864e-14,0.5823032855987549
15,0.25,0.005,100,3,0.020876936568578055,0.001185789212677949,0.01940991162710267,0.022314027358461486,-0.7546130199943119,0.11473894500633622,2.5239070093145226e-14,3.141931159689193e-14,0.5823032855987549
15,0.25,0.005,200,3,0.022292149233753458,0.0016068647629689963,0.020045795389807858,0.023712718750708434,-1.2010247729684664,0.1965434704387016,4.285460875053104e-14,4.929390229335695e-14,0.5823032855987549
15,0.25,0.01,1,3,6.280278228026116e-05,1.649189729339482e-05,4.619814128251148e-05,8.528919377946848e-05,0.9947233635605658,0.001365493377779133,7.031412489292658e-16,7.771561172376096e-16,0.5783086617787679
