n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
10,0.25,0.02,0,10,391,0.0017857416082473069,0.919404358477004,3.6637359812630166e-15,0.0002636750982337471,0.9886617280261284,0.5720000267028809
10,0.25,0.02,0,50,351,0.012968211362553396,0.4401961751322918,1.4654943925052066e-14,0.0002636750982337471,0.9886617280261284,0.5720000267028809
10,0.25,0.02,0,100,301,0.019406159619337057,0.12686907863554875,2.4424906541753444e-14,0.0002636750982337471,0.9886617280261284,0.5720000267028809
10,0.25,0.02,0,200,201,0.023262308959867688,-0.37494732593021896,3.730349362740526e-14,0.0002636750982337471,0.9886617280261284,0.5720000267028809
10,0.25,0.02,1,1,400,5.272405566583564e-05,0.9976563566948898,4.440892098500626e-16,9.603646092356589e-05,0.9959448335929534,0.5821020603179932
10,0.25,0.02,1,10,391,0.0015594286082097647,0.9310473620669991,3.219646771412954e-15,9.603646092356589e-05,0.9959448335929534,0.5821020603179932
10,0.25,0.02,1,50,351,0.01242009359333715,0.4692504865469276,1.4654943925052066e-14,9.603646092356589e-05,0.9959448335929534,0.5821020603179932
10,0.25,0.02,1,100,301,0.020168846621905438,0.13875841930066102,2.8199664825478976e-14,9.603646092356589e-05,0.9959448335929534,0.5821020603179932
10,0.25,0.02,1,200,201,0.022701064682280052,-0.3227422099039108,5.3179682879545e-14,9.603646092356589e-05,0.9959448335929534,0.5821020603179932
10,0.25,0.02,2,1,400,0.0001482407191116118,0.9925780636890291,6.661338147750939e-16,0.0003236603463051707,0.9843153515954867,0.5712666511535645
10,0.25,0.02,2,10,391,0.002629219297080937,0.8700736943913123,3.552713678800501e-15,0.0003236603463051707,0.9843153515954867,0.5712666511535645
10,0.25,0.02,2,50,351,0.012804898793018592,0.38861942298249963,1.199040866595169e-14,0.0003236603463051707,0.9843153515954867,0.5712666511535645
10,0.25,0.02,2,100,301,0.017463800156124934,0.1097067046598399,1.709743457922741e-14,0.0003236603463051707,0.9843153515954867,0.5712666511535645
10,0.25,0.02,2,200,201,0.0193018319304254,-0.13639657111859416,3.2307490016592055e-14,0.0003236603463051707,0.9843153515954867,0.5712666511535645
10,0.25,0.05,0,1,400,9.00354888010327e-05,0.9975891543219211,5.551115123125783e-16,0.0006566560186149525,0.9827204658202578,0.5818238258361816
10,0.25,0.05,0,10,391,0.002158420120772403,0.9425868326171415,3.6637359812630166e-15,0.0006566560186149525,0.9827204658202578,0.5818238258361816
10,0.25,0.05,0,50,351,0.013757891031335515,0.641592609386501,1.5765166949677223e-14,0.0006566560186149525,0.9827204658202578,0.5818238258361816
10,0.25,0.05,0,100,301,0.02343311508507971,0.3356659992446622,2.4202861936828413e-14,0.0006566560186149525,0.9827204658202578,0.5818238258361816
10,0.25,0.05,0,200,201,0.03768531238284859,-0.24879580085061148,3.2862601528904634e-14,0.0006566560186149525,0.9827204658202578,0.5818238258361816
10,0.25,0.05,1,1,400,6.788597005846321e-05,0.9983256296156827,4.440892098500626e-16,0.0006023320793886359,0.9852693974701885,0.5752320289611816
10,0.25,0.05,1,10,391,0.0020971737869288974,0.948409920674502,2.3314683517128287e-15,0.0006023320793886359,0.9852693974701885,0.5752320289611816
10,0.25,0.05,1,50,351,0.01357142648875553,0.6695443972769843,1.0547118733938987e-14,0.0006023320793886359,0.9852693974701885,0.5752320289611816
10,0.25,0.05,1,100,301,0.022558671975897816,0.45329707527307017,1.8096635301390052e-14,0.0006023320793886359,0.9852693974701885,0.5752320289611816
10,0.25,0.05,1,200,201,0.04304978438306504,-0.2997795179304259,2.4868995751603507e-14,0.0006023320793886359,0.9852693974701885,0.5752320289611816
10,0.25,0.05,2,1,400,6.598086428582878e-05,0.9984265856214731,6.661338147750939e-16,0.0005668894307004721,0.9866448497417765,0.5820398330688477
10,0.25,0.05,2,10,391,0.0020257146693967608,0.9519768066528748,5.551115123125783e-15,0.0005668894307004721,0.9866448497417765,0.5820398330688477
10,0.25,0.05,2,50,351,0.014936700236196476,0.652931427810868,2.1094237467877974e-14,0.0005668894307004721,0.9866448497417765,0.5820398330688477
10,0.25,0.05,2,100,301,0.029729225786931383,0.27809595983056945,3.1308289294429414e-14,0.0005668894307004721,0.9866448497417765,0.5820398330688477
10,0.25,0.05,2,200,201,0.03315907301919716,-0.03724596817846626,5.417888360170764e-14,0.0005668894307004721,0.9866448497417765,0.5820398330688477
10,0.5,0.0,0,1,400,0.00032065183762647245,0.995828344204935,6.661338147750939e-16,0.00037128120421222726,0.995450303753348,0.574455976486206
10,0.5,0.0,0,10,391,0.005227062431022409,0.9323975862486074,4.6629367034256575e-15,0.00037128120421222726,0.995450303753348,0.574455976486206
10,0.5,0.0,0,50,351,0.026042510571343786,0.6771660861263027,2.0650148258027912e-14,0.00037128120421222726,0.995450303753348,0.574455976486206
10,0.5,0.0,0,100,301,0.03696526263320246,0.5264478633466425,3.064215547965432e-14,0.00037128120421222726,0.995450303753348,0.574455976486206
10,0.5,0.0,0,200,201,0.04403978081528596,0.3102815873953393,3.019806626980426e-14,0.00037128120421222726,0.995450303753348,0.574455976486206
10,0.5,0.0,1,1,400,0.00042925250759031665,0.9943661773931654,6.661338147750939e-16,0.0005158466244486478,0.9935448198288086,0.5759880542755127
