n_clusters,omega,noise_level,weighted_long_horizon_score,E50,E100,E200
15,0.25,0.0,0.01992170641071252,0.014334214197265582,0.02121034094888887,0.022071135248347813
15,0.25,0.005,0.0196980982131192,0.013331157816391836,0.020876936568578055,0.022292149233753458
15,0.25,0.01,0.019364361114159574,0.012594413890187166,0.020024495448497347,0.022419267558976892
15,0.25,0.02,0.021356956392067833,0.011947319077949558,0.021161135857237074,0.026159685316542346
15,0.25,0.05,0.03018326009255581,0.01701674599695873,0.026182820549240867,0.03876673691201182
15,0.5,0.0,0.030526119794825023,0.027668569785217423,0.03158412161279504,0.03142589389064382
15,0.5,0.005,0.033243924184051296,0.026335852994983325,0.032207960664348986,0.03721594153843644
15,0.5,0.01,0.033000324370431974,0.02515360646390709,0.03102651946414652,0.03791058577683714
15,0.5,0.02,0.03440836718879184,0.02287550536793776,0.02951328426215646,0.04262233956253656
15,0.5,0.05,0.07303681128799266,0.0431683382215645,0.07352801780302681,0.08772544456368966
15,1.0,0.0,0.06205006544784606,0.0468527547446626,0.06385421312853914,0.06874664695909125
15,1.0,0.005,0.07273264516789939,0.04805905716700925,0.07245013962031263,0.08521069194213785
15,1.0,0.01,0.08136278178657676,0.05185059806910583,0.0828996397060142,0.0953504446855935
15,1.0,0.02,0.08390205477785553,0.047049815325360025,0.0810960649107499,0.10373116943765609
15,1.0,0.05,0.1496748167029002,0.06988426347619472,0.1398246524819648,0.19449517542672065
15,2.0,0.0,0.10605301366467493,0.07086044775628553,0.12155724625892422,0.115897180321745
15,2.0,0.005,0.10763858848971211,0.06602553740921321,0.12439983373679711,0.12006449140641905
15,2.0,0.01,0.13715312622736683,0.06571222508346332,0.14074597372177108,0.1710771530521165
15,2.0,0.02,0.1781631177124661,0.08022755942904669,0.16180175350344472,0.23531157895868648
15,2.0,0.05,0.35123655769280443,0.18034805911579352,0.3585114966570819,0.4330433374991711
15,4.0,0.0,0.16906092977669893,0.09581849235432323,0.19053446099161417,0.19494538288042915
15,4.0,0.005,0.2337896878054734,0.11832513941948412,0.2404558607620326,0.28818887552018846
15,4.0,0.01,0.23310407101273015,0.138529235189034,0.24533163153005494,0.27427770866591583
15,4.0,0.02,0.2640729316161292,0.1721297905239542,0.2620017528523138,0.3110800915441244
15,4.0,0.05,0.44479750916475314,0.29037369597188606,0.43718768663799784,0.5258143270245643
20,0.25,0.0,0.02150158406817758,0.016927786773682958,0.022873548019208007,0.023102500739909677
20,0.25,0.005,0.022116474849818095,0.014754989437917114,0.022590527310235562,0.025560191325559853
20,0.25,0.01,0.021299700177582658,0.013789504251469648,0.021940294943868562,0.02473450075749621
20,0.25,0.02,0.02230721878637616,0.01286578042479926,0.02221985491368501,0.02707161990351018
20,0.25,0.05,0.04840486287952386,0.021397928782465218,0.040039743393965065,0.06609088967083258
20,0.5,0.0,0.048517252042854786,0.04159687486332369,0.05125878610400422,0.05060667360204562
20,0.5,0.005,0.044934559505732954,0.0342262452220898,0.04469447633834233,0.050408758231249844
20,0.5,0.01,0.0454253576734221,0.030724399296648417,0.04111467223643387,0.05493117958030306
20,0.5,0.02,0.04257133165264237,0.026821985403108598,0.03605023936019987,0.053706550923630504
20,0.5,0.05,0.10937356078827815,0.059174503241680526,0.10069600468369505,0.13881186761386852
20,1.0,0.0,0.07579717807798178,0.06250333852243192,0.07935802535993838,0.08066367421477842
20,1.0,0.005,0.08343414285792622,0.06176297067310365,0.08529180158392194,0.09334089958733965
20,1.0,0.01,0.0873596821834995,0.0586629897908354,0.08771933519117071,0.10152820187599594
20,1.0,0.02,0.08302166587896966,0.05704803671696475,0.0821080104575628,0.09646530817067554
20,1.0,0.05,0.1369114301735726,0.06823939324195027,0.11868965648841912,0.1803583354819605
20,2.0,0.0,0.12219058389937709,0.08322348242809735,0.1320652076685765,0.13673682275041726
20,2.0,0.005,0.12660412287025766,0.08134600345659153,0.14817105629154215,0.13844971586644847
20,2.0,0.01,0.13452034672679428,0.07834047455066627,0.14702396439553042,0.1563584739804902
20,2.0,0.02,0.1618428222945171,0.09006625787030202,0.15852700983438045,0.199389010736693
