experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,100,301,0.4366427308274176,0.5005740691308794,0.075913732922875
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,200,201,0.5946722764180834,0.2912494350192464,0.04324110785174083
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,1,400,0.005499707866493726,0.9936584267194636,0.02955041028974652
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,2,399,0.01991285166876553,0.9770494643344853,0.06647328380301534
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,5,396,0.08726395458964556,0.8995673893859246,0.1610187281258413
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,10,391,0.17531545059894757,0.7987552273740649,0.23851191497898097
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,20,381,0.22712313775534748,0.7407047834163601,0.16596336850325402
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,50,351,0.33511696602420554,0.6218803509715403,0.16184315349935832
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,100,301,0.39085922562394115,0.551852559395996,0.06097402289596062
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,200,201,0.4798398596814763,0.4147422276168804,0.03197220562614493
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,1,400,0.0056643544453560115,0.9934760795711568,0.027744819713328907
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,2,399,0.020513302669327053,0.9763843372528088,0.05905741172754762
