n_clusters,omega,n_runs,train_closure_error_mean,train_closure_error_std,test_closure_error_mean,test_closure_error_std,test_closure_error_min,test_closure_error_max,test_association_r2_mean,test_association_r2_std,test_association_r2_min,raw_predicted_simplex_violation_mean,raw_predicted_simplex_violation_max,target_association_variation_mean,target_association_variation_std,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std
40,12.0,3,0.00605814768965961,8.317874237530936e-05,0.005668050341316185,0.00021414074849934067,0.005487608807689863,0.005904684563367564,0.9938384232469559,0.00021897312166477758,0.9935925007168962,0.03747118459522502,0.03885032550856875,nan,nan,nan,nan,nan,nan,nan,nan
15,12.0,3,0.006067417006615318,0.00034470130124357413,0.005812992167064108,0.00040841901275790496,0.005499707866493726,0.006274914189342584,0.9933315191016273,0.00041835898302451234,0.9928600510142612,0.02792964578302992,0.02955041028974652,nan,nan,nan,nan,nan,nan,nan,nan
50,6.0,3,0.006392714460615946,0.00036383485627668356,0.005836361516864441,0.0004077197768624833,0.0053689556865307445,0.006118893304354371,0.9934796004013905,0.0004588564398966868,0.9931653817450843,0.03312146959120285,0.03512261918198326,nan,nan,nan,nan,nan,nan,nan,nan
10,12.0,3,0.0059104821380028235,6.306575135770632e-05,0.0059772256804017385,0.00011273959258425622,0.0058489710974982895,0.006060673613904408,0.9928535977999363,0.00014875787195329457,0.9927380150347895,0.021202661572504857,0.021640211486385137,nan,nan,nan,nan,nan,nan,nan,nan
50,1.0,3,0.006799168992085613,0.0003489173905939135,0.006057839998964493,0.00023770871917174486,0.005867590321644232,0.0063243101917487545,0.9700273448864417,0.0021978373996115242,0.968036047740835,1.6653345369377348e-15,1.7763568394002505e-15,nan,nan,nan,nan,nan,nan,nan,nan
20,12.0,3,0.006429228239529843,0.00024030513211627634,0.006067689640311892,0.00040404885007295767,0.005703347298634968,0.0065022424007945105,0.9931462790114564,0.00043151313723820297,0.9926720461417557,0.03234835682977958,0.03437017223083293,nan,nan,nan,nan,nan,nan,nan,nan
30,12.0,3,0.006939752847093163,5.9044190603386555e-05,0.006557168089535948,0.00013880614474479961,0.006415191941602191,0.006692570648537896,0.9927838231843674,0.0001713134377328433,0.9926113446641214,0.04522466093079708,0.05164375381189743,nan,nan,nan,nan,nan,nan,nan,nan
25,12.0,3,0.0068437884442794404,0.00012065393701367468,0.0065609626177126935,0.0001331867031073764,0.006428410782834278,0.006694775237672726,0.9927301675608337,0.00015811733340585088,0.9925686109980731,0.0426634843405507,0.051705563075925755,nan,nan,nan,nan,nan,nan,nan,nan
30,2.0,3,0.007249440882805633,0.00015398211979562816,0.006689013853609093,0.0002591949734389848,0.006390040095615742,0.006850461220870723,0.9888166950585133,0.0004055158782922495,0.9885578741546628,1.4802973661668755e-15,1.7763568394002505e-15,nan,nan,nan,nan,nan,nan,nan,nan
40,4.0,3,0.007898190000592222,0.00043147810960976365,0.00718299006851502,0.00025790205285708574,0.006891220183747262,0.00738051046020319,0.9915702600790383,0.0002974629834036228,0.9913763752617014,0.023639123632554323,0.029474173860771155,nan,nan,nan,nan,nan,nan,nan,nan
