n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,target_association_variation,target_max_variation_given_mean,target_normalized_association_variation,target_association_effective_rank,target_normalized_association_effective_rank,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
25,4.0,0.01,0,200,201,0.22061792742194947,0.7055568658268772,0.052332320967066755,0.1947456186576726,0.9523776929022658,0.204483599425987,11.54207571082078,0.4809198212841992,0.002407659745343646,0.997056462663296,0.1555030345916748
25,4.0,0.01,1,1,400,0.0006837171894241946,0.9991443266879392,0.003818358243959988,0.19640452222235105,0.9506039037308824,0.20661026264621096,11.342333450569582,0.4725972271070659,0.002165152916078251,0.9973619463596601,0.1541581153869629
25,4.0,0.01,1,10,391,0.01696872673184508,0.9788785509555361,0.06517767798870293,0.19640452222235105,0.9506039037308824,0.20661026264621096,11.342333450569582,0.4725972271070659,0.002165152916078251,0.9973619463596601,0.1541581153869629
25,4.0,0.01,1,50,351,0.08430334882954782,0.89735864285476,0.07125447581330659,0.19640452222235105,0.9506039037308824,0.20661026264621096,11.342333450569582,0.4725972271070659,0.002165152916078251,0.9973619463596601,0.1541581153869629
25,4.0,0.01,1,100,301,0.16839490335846055,0.7911711470687605,0.05297654024584202,0.19640452222235105,0.9506039037308824,0.20661026264621096,11.342333450569582,0.4725972271070659,0.002165152916078251,0.9973619463596601,0.1541581153869629
25,4.0,0.01,1,200,201,0.21093453449018654,0.7154266191391333,0.02739908522956255,0.19640452222235105,0.9506039037308824,0.20661026264621096,11.342333450569582,0.4725972271070659,0.002165152916078251,0.9973619463596601,0.1541581153869629
25,4.0,0.01,2,1,400,0.0007586164365665702,0.9990511738015528,0.006029146501736845,0.20041483402579122,0.9497494965572906,0.21101862622961848,11.44018219966584,0.47667425831940996,0.0028968630537852913,0.9964715709361457,0.15404701232910156
25,4.0,0.01,2,10,391,0.017813404647185477,0.9778411425705791,0.045526618283827945,0.20041483402579122,0.9497494965572906,0.21101862622961848,11.44018219966584,0.47667425831940996,0.0028968630537852913,0.9964715709361457,0.15404701232910156
25,4.0,0.01,2,50,351,0.10116964880146455,0.8769910897891882,0.05548247400937249,0.20041483402579122,0.9497494965572906,0.21101862622961848,11.44018219966584,0.47667425831940996,0.0028968630537852913,0.9964715709361457,0.15404701232910156
25,4.0,0.01,2,100,301,0.1880503193336345,0.7666899652858332,0.044419843494862325,0.20041483402579122,0.9497494965572906,0.21101862622961848,11.44018219966584,0.47667425831940996,0.0028968630537852913,0.9964715709361457,0.15404701232910156
