task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,30,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.16860528950039716,0.10466287971085209,6.661338147750939e-16
CartPole-v1,30,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.1694031368389901,0.0911732363627149,6.661338147750939e-16
CartPole-v1,30,4.0,kahkm_nlms,kahkm_association,1,0.2933844681930408,0.289233043414619,0.02691213681169219
CartPole-v1,30,4.0,kahkm_nlms,kahkm_association,10,0.32109894414623646,0.22203587866827101,0.003499330152245748
CartPole-v1,30,4.0,kahkm_nlms,kahkm_association,20,0.3458389508556589,0.16319619380431194,0.0036192445438888426
CartPole-v1,30,4.0,kahkm_nlms,kahkm_association,5,0.320158879700683,0.22412632263574794,0.004688719987770096
CartPole-v1,30,4.0,kahkm_nlms,kahkm_association,50,0.3661756234431833,0.11332624654139423,0.00020040916770379218
CartPole-v1,30,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.2910621113334323,0.29485929393624866,6.661338147750939e-16
CartPole-v1,30,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.3209419668546252,0.22241620598782075,6.661338147750939e-16
CartPole-v1,30,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.34555527825532656,0.16388257777316284,5.551115123125783e-16
CartPole-v1,30,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.3201982543640654,0.22403090199677644,5.551115123125783e-16
CartPole-v1,30,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.36610920039846995,0.11348708622214176,6.661338147750939e-16
CartPole-v1,30,8.0,kahkm_nlms,kahkm_association,1,0.3904431397142527,0.4211056744115087,0.05282590241835253
CartPole-v1,30,8.0,kahkm_nlms,kahkm_association,10,0.36196529703783786,0.46407444674958465,0.0397267308587974
CartPole-v1,30,8.0,kahkm_nlms,kahkm_association,20,0.44307998022360817,0.3461381893923551,0.05434813462740644
