experiment,random_state,n_steps,dt,data_seed,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,20,281,0.00042600448462158945,0.6333105059260427,0.00267306269663109
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,50,251,0.0008302668861886481,0.10243302141947919,0.003766861311025793
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,100,201,0.0009816767922550351,-0.20483682602185094,0.003025304781377415
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,200,101,0.0006611128021542516,-1.8424331928783118,0.0012008924736294994
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,300,1.6808045944016348e-05,0.9864997884452436,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,299,3.1069088172906886e-05,0.9750096272506709,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,296,8.458994909910517e-05,0.9316107456005757,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,291,0.00019136343170045406,0.8432410490329839,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,281,0.00043636587175567646,0.6243917927592606,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,251,0.0009767670863793944,-0.05594224830887695,3.3306690738754696e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,201,0.0010909490353694028,-0.3389494215368922,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,101,0.0008341663477684958,-2.586471336741754,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,1,300,1.6782654924776357e-05,0.9865201824953593,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,2,299,3.0965916826718974e-05,0.975092612962512,6.661338147750939e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,5,296,8.393612059258142e-05,0.9321393526578262,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,10,291,0.00018889222427895768,0.8452653850284946,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,20,281,0.0004279842432960263,0.6316064001409532,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,50,251,0.0009545119740092629,-0.03188317248600958,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,100,201,0.0010769434116117197,-0.32175996426562414,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,200,101,0.0008221087471571879,-2.5346300713898016,6.661338147750939e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,1,300,3.956257447366488e-05,0.9682233659507921,5.551115123125783e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,2,299,0.0001208219899305593,0.9028170203168897,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,5,296,0.000621328125717279,0.4976688400011581,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,10,291,0.0021910385196537894,-0.7948303749427212,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,20,281,0.0074393139969754244,-5.403496639786264,6.661338147750939e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,50,251,0.031969989824722427,-33.56142554829792,8.881784197001252e-16
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,100,201,0.07751146473584083,-94.1317866424341,1.3322676295501878e-15
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,200,101,0.15280325624148966,-655.9726771368152,1.5543122344752192e-15
