config_name,n_clusters,omega,n_train_trajectories,replicate,train_seeds,test_seeds,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
clean_tuned,15,0.5,5,0,0 1 2 3 4,100 101 102,10,2373,0.0029500879077695038,0.9481739252173437,5.440092820663267e-15,0.0003008598563199441,0.9947051581387312,2.710599899291992
clean_tuned,15,0.5,5,0,0 1 2 3 4,100 101 102,50,2253,0.013447809238989764,0.7672421345140163,2.8976820942716586e-14,0.0003008598563199441,0.9947051581387312,2.710599899291992
clean_tuned,15,0.5,5,0,0 1 2 3 4,100 101 102,100,2103,0.020215908281554416,0.6582422679059592,3.375077994860476e-14,0.0003008598563199441,0.9947051581387312,2.710599899291992
clean_tuned,15,0.5,5,0,0 1 2 3 4,100 101 102,200,1803,0.02008653169217129,0.6459804250505727,3.8191672047105385e-14,0.0003008598563199441,0.9947051581387312,2.710599899291992
clean_tuned,15,0.5,5,1,1000 1001 1002 1003 1004,100 101 102,1,2400,0.0003572269628926434,0.993389066753917,1.1102230246251565e-15,0.0003563760518757722,0.9934599274435374,2.5577590465545654
clean_tuned,15,0.5,5,1,1000 1001 1002 1003 1004,100 101 102,10,2373,0.0033853560052827638,0.9375214892345513,7.327471962526033e-15,0.0003563760518757722,0.9934599274435374,2.5577590465545654
clean_tuned,15,0.5,5,1,1000 1001 1002 1003 1004,100 101 102,50,2253,0.01289620479291435,0.7651012126811151,2.5979218776228663e-14,0.0003563760518757722,0.9934599274435374,2.5577590465545654
clean_tuned,15,0.5,5,1,1000 1001 1002 1003 1004,100 101 102,100,2103,0.020164450727226862,0.6392876104276206,4.39648317751562e-14,0.0003563760518757722,0.9934599274435374,2.5577590465545654
clean_tuned,15,0.5,5,1,1000 1001 1002 1003 1004,100 101 102,200,1803,0.01999781850745244,0.6303803397578709,6.306066779870889e-14,0.0003563760518757722,0.9934599274435374,2.5577590465545654
clean_tuned,15,0.5,5,2,2000 2001 2002 2003 2004,100 101 102,1,2400,0.00037717933154517294,0.9929488485999025,9.992007221626409e-16,0.00036424560525065105,0.9932203294804071,2.602091073989868
clean_tuned,15,0.5,5,2,2000 2001 2002 2003 2004,100 101 102,10,2373,0.0034708429727495723,0.9352509873414753,5.551115123125783e-15,0.00036424560525065105,0.9932203294804071,2.602091073989868
clean_tuned,15,0.5,5,2,2000 2001 2002 2003 2004,100 101 102,50,2253,0.013758275584911026,0.7466766634179458,2.4424906541753444e-14,0.00036424560525065105,0.9932203294804071,2.602091073989868
clean_tuned,15,0.5,5,2,2000 2001 2002 2003 2004,100 101 102,100,2103,0.02174552518988302,0.6091901723775147,4.196643033083092e-14,0.00036424560525065105,0.9932203294804071,2.602091073989868
clean_tuned,15,0.5,5,2,2000 2001 2002 2003 2004,100 101 102,200,1803,0.025466312944822433,0.5309873003652044,4.340972026284362e-14,0.00036424560525065105,0.9932203294804071,2.602091073989868
clean_tuned,15,0.5,8,0,0 1 2 3 4 5 6 7,100 101 102,1,2400,0.0003668453995255691,0.9932884852257561,1.3322676295501878e-15,0.0003742130914622909,0.9932095108168766,4.874042272567749
clean_tuned,15,0.5,8,0,0 1 2 3 4 5 6 7,100 101 102,10,2373,0.0029458945049652737,0.946235160382566,1.1324274851176597e-14,0.0003742130914622909,0.9932095108168766,4.874042272567749
clean_tuned,15,0.5,8,0,0 1 2 3 4 5 6 7,100 101 102,50,2253,0.01059078361333981,0.8096188883116037,3.219646771412954e-14,0.0003742130914622909,0.9932095108168766,4.874042272567749
clean_tuned,15,0.5,8,0,0 1 2 3 4 5 6 7,100 101 102,100,2103,0.017284517387772324,0.6956780554964251,3.019806626980426e-14,0.0003742130914622909,0.9932095108168766,4.874042272567749
clean_tuned,15,0.5,8,0,0 1 2 3 4 5 6 7,100 101 102,200,1803,0.01766026499483697,0.679286019603843,4.218847493575595e-14,0.0003742130914622909,0.9932095108168766,4.874042272567749
clean_tuned,15,0.5,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,1,2400,0.0003757953348532277,0.9931569602738762,8.881784197001252e-16,0.0003677266725685485,0.9933131457853995,4.995867967605591
clean_tuned,15,0.5,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,10,2373,0.003080062083020392,0.9440518797726024,5.551115123125783e-15,0.0003677266725685485,0.9933131457853995,4.995867967605591
clean_tuned,15,0.5,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,50,2253,0.010299003765006056,0.814952186043385,2.609024107869118e-14,0.0003677266725685485,0.9933131457853995,4.995867967605591
clean_tuned,15,0.5,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,100,2103,0.01592363744710953,0.7189672110472578,3.397282455352979e-14,0.0003677266725685485,0.9933131457853995,4.995867967605591
clean_tuned,15,0.5,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,200,1803,0.018346014317110186,0.6680528078439605,4.6074255521943996e-14,0.0003677266725685485,0.9933131457853995,4.995867967605591
clean_tuned,15,0.5,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,1,2400,0.00041785735650158373,0.9923938601519712,7.771561172376096e-16,0.0004127656255634727,0.9925062064728126,4.88303804397583
clean_tuned,15,0.5,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,10,2373,0.003430065743014915,0.9377074526049992,4.107825191113079e-15,0.0004127656255634727,0.9925062064728126,4.88303804397583
clean_tuned,15,0.5,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,50,2253,0.010981865686272093,0.8029199512449813,1.5210055437364645e-14,0.0004127656255634727,0.9925062064728126,4.88303804397583
clean_tuned,15,0.5,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,100,2103,0.01694795581310093,0.7015805513927004,2.3203661214665772e-14,0.0004127656255634727,0.9925062064728126,4.88303804397583
