experiment,status,seed,n_steps,dt,mu,train_fraction,n_train,n_test,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,nlms_history_first,nlms_history_last,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,fit_seconds,eval_seconds,total_job_seconds,error_message
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,10,10,4,100,12.0,1e-06,0.1,20,0.005858605620169938,0.9931236529073006,0.0058489710974982895,0.9930214317777574,0.021640211486385137,5.551115123125783e-16,0.00584066955753853,0.005858605620169938,1.0000000000000007,-0.021904071533299024,0.9896595087513013,0.9999999999999992,1.0000000000000007,0.6116960048675537,0.0356442928314209,0.6843147277832031,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,0.5,1e-06,0.1,20,0.0004330087082436256,0.9919662881657135,0.00046304958165761974,0.9911860545812224,6.661338147750939e-16,4.440892098500626e-16,0.00048125307441059916,0.0004330087082436256,0.9999999999999992,-0.011946218265857301,0.9986456437482476,0.9999999999999909,1.0000000000000062,0.5750250816345215,0.03254580497741699,0.6441197395324707,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,0.5,1e-06,0.1,20,0.0004628025815046261,0.9916676390241214,0.00043002386223563985,0.9918934364351689,7.771561172376096e-16,4.440892098500626e-16,0.0005124804849416707,0.0004628025815046261,0.9999999999999977,-0.011052275461638037,0.9989880677584099,0.9999999999999915,1.0000000000000107,0.5536789894104004,0.034464120864868164,0.6237261295318604,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,0.5,1e-06,0.1,20,0.0004517541342514868,0.9917027744421301,0.00041179241341202257,0.9920034702400744,6.661338147750939e-16,4.440892098500626e-16,0.0005009633196004542,0.0004517541342514868,1.0000000000000013,-0.012436473433075582,0.9989130778172295,0.9999999999999875,1.00000000000001,0.5727119445800781,0.032813072204589844,0.6411452293395996,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,1.0,1e-06,0.1,20,0.0012634095681331528,0.9942999118659311,0.001352557968109839,0.9937373589333873,8.881784197001252e-16,5.551115123125783e-16,0.0014948268984944994,0.0012634095681331528,0.9999999999999994,-0.03154949397412602,0.9981418946482,0.9999999999999941,1.0000000000000056,0.5735759735107422,0.0326688289642334,0.6419391632080078,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,1.0,1e-06,0.1,20,0.0012647632735606144,0.9943542104599443,0.00117137793148736,0.9945423674036787,9.992007221626409e-16,6.661338147750939e-16,0.0015050741485791402,0.0012647632735606144,1.0000000000000009,-0.027952260228138705,1.0016130373432846,0.9999999999999938,1.0000000000000053,0.5577878952026367,0.0334620475769043,0.6266570091247559,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,1.0,1e-06,0.1,20,0.0013756770759172795,0.993827293897774,0.0012363486567858245,0.9941547866449607,6.661338147750939e-16,5.551115123125783e-16,0.001612589052738315,0.0013756770759172795,0.9999999999999991,-0.031048572640005448,1.000188635395374,0.9999999999999946,1.0000000000000049,0.5712659358978271,0.032903194427490234,0.6399049758911133,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,2.0,1e-06,0.1,20,0.001897270149176823,0.996751515602519,0.002077975287785091,0.9963750633429249,1.1102230246251565e-15,6.661338147750939e-16,0.0023382544127739484,0.001897270149176823,0.9999999999999993,-0.05562971344570726,1.019822083534305,0.9999999999999962,1.0000000000000033,0.5852229595184326,0.03291797637939453,0.6537652015686035,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,2.0,1e-06,0.1,20,0.0018668502579113043,0.9967955376517328,0.0017252647160213481,0.9969356158466592,1.3322676295501878e-15,6.661338147750939e-16,0.002297387194828785,0.0018668502579113043,0.999999999999999,-0.04933801535615168,1.009140896147631,0.9999999999999933,1.000000000000003,0.5522282123565674,0.033396005630493164,0.6211271286010742,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,2.0,1e-06,0.1,20,0.0022360146516507166,0.9961821050629792,0.001974053155935492,0.9964918037075208,1.3322676295501878e-15,6.661338147750939e-16,0.0026928397427681697,0.0022360146516507166,0.9999999999999998,-0.05014105209836444,1.009820603061014,0.9999999999999963,1.0000000000000027,0.5780034065246582,0.03291511535644531,0.6467082500457764,
