n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,train_closure_error_mean,fit_seconds_mean
12,2.0,1,3,1.164118152864426e-08,3.7219309651595287e-09,0.9993471573127144,8.860975196034586e-05,4.440892098500626e-16,4.440892098500626e-16,0.00011399432178991731,0.5515216191609701
12,2.0,10,3,1.0821276053109594e-06,3.376201191836865e-07,0.9347852268020596,0.010461552050439093,1.0362081563168128e-15,1.5543122344752192e-15,0.00011399432178991731,0.5515216191609701
12,2.0,50,3,1.539350569622086e-05,4.20185519914939e-06,-0.08376719322094657,0.15934244961845764,3.92278802034222e-15,6.217248937900877e-15,0.00011399432178991731,0.5515216191609701
12,2.0,100,3,2.5544682910036878e-05,7.98170989514522e-06,-1.354601124440805,0.2881636861767201,6.698345581905111e-15,1.1324274851176597e-14,0.00011399432178991731,0.5515216191609701
12,2.0,200,3,4.984115354214687e-05,1.7940190589833728e-05,-6.3113075719244796,1.6567980020020965,1.2360483007493409e-14,2.19824158875781e-14,0.00011399432178991731,0.5515216191609701
12,4.0,1,3,3.370576945679597e-08,1.1456913864035312e-08,0.9994731347961957,2.8365871360588322e-05,4.440892098500626e-16,4.440892098500626e-16,0.0001310473139663744,0.551652193069458
12,4.0,10,3,3.0498525885711553e-06,1.0183835958464897e-06,0.9490313865968607,0.0037645052765606494,8.881784197001252e-16,1.1102230246251565e-15,0.0001310473139663744,0.551652193069458
12,4.0,50,3,4.029377873948003e-05,1.2358008700504207e-05,0.20597892830831097,0.10420133333569513,1.7023419710919068e-15,1.9984014443252818e-15,0.0001310473139663744,0.551652193069458
12,4.0,100,3,5.925752276269677e-05,2.0473768866210616e-05,-0.5754218685983761,0.39161768233890093,2.7385501274087196e-15,3.1086244689504383e-15,0.0001310473139663744,0.551652193069458
12,4.0,200,3,9.624923905911644e-05,4.219649769201677e-05,-2.866794415907316,1.1392764455961595,4.366877230192283e-15,4.884981308350689e-15,0.0001310473139663744,0.551652193069458
12,6.0,1,3,7.60911282844005e-08,3.574401784060592e-08,0.9994478249909722,0.00013464383638575307,4.440892098500626e-16,4.440892098500626e-16,0.0001674319988957238,0.5508554776509603
12,6.0,10,3,6.7049463785433024e-06,3.1167908992132377e-06,0.9480266847995619,0.01257416578312036,1.2952601953960159e-15,1.7763568394002505e-15,0.0001674319988957238,0.5508554776509603
12,6.0,50,3,7.963146695982921e-05,3.482170822931319e-05,0.27643322200597625,0.1343202493560936,2.252432610010175e-06,6.7572978173739825e-06,0.0001674319988957238,0.5508554776509603
12,6.0,100,3,0.000112537725241278,4.236985916284829e-05,-0.41143078205329386,0.24700252460870564,0.00038627839189399343,0.0010028700415923716,0.0001674319988957238,0.5508554776509603
12,6.0,200,3,0.00019071246115331614,0.00010684335429890642,-2.6025498736372987,1.2752506158149024,0.00020926250615207868,0.00045654308853760553,0.0001674319988957238,0.5508554776509603
12,8.0,1,3,1.2920018888233565e-07,7.42308582227852e-08,0.9994390332223753,0.00021022630646414116,5.921189464667501e-16,6.661338147750939e-16,0.0002541118564926792,0.5529131094614664
