rank,n_clusters,omega,selection_objective_mean_error,selection_horizons,E1,E10,E50,E100,E200,E200_std,train_closure_error_mean_h1row,n_runs
52,20,20.0,0.0005303878453775019,1 10 50 100 200,1.106074892839232e-06,8.981722573342098e-05,0.0007754234636623954,0.0008407425015631072,0.0009448499610357466,0.0006648227332768185,0.0017200278763066885,3
53,40,12.0,0.0005349806404236194,1 10 50 100 200,7.673279062308801e-07,6.507203798345029e-05,0.0007740984399521389,0.0008830759715463583,0.0009518894247299188,0.0004352648810487647,0.0015208063755263405,3
54,40,10.0,0.0006096857459683456,1 10 50 100 200,8.829198724099061e-07,7.52481767642796e-05,0.000979037746069759,0.0009634562656971068,0.0010298036214381728,0.0004361366914511649,0.0018134431334508364,3
55,40,20.0,0.0006192784151387139,1 10 50 100 200,8.912972061205795e-07,7.847395963969679e-05,0.0007894113196439408,0.0010564859416348875,0.001171129557568924,0.0005869246204035365,0.0017884342940223442,3
56,8,2.0,0.000700324171804991,1 10 50 100 200,1.5868270970137483e-05,0.00019035120168285738,0.0009627729721214176,0.001393230322627975,0.0009393980916225676,0.0013002199062763522,0.00010903689028771468,3
57,40,8.0,0.0007621383300078906,1 10 50 100 200,1.0720074579689247e-06,9.319045134412015e-05,0.0013166140239147665,0.0011904948362132391,0.0012093203311093583,0.0005189852943769099,0.0023317113991170734,3
58,25,8.0,0.0008250012325948924,1 10 50 100 200,7.369104870371659e-05,0.00037244172513558547,0.0012918732213871998,0.0011872859668797836,0.0011997142008681764,0.0007426393009116587,0.0006399836262185792,3
59,40,6.0,0.0010520460686420747,1 10 50 100 200,1.3817350013800879e-06,0.00012404414920392392,0.0019063920520401908,0.0017684339288501255,0.0014599784781147533,0.0007495615183582021,0.0030994860303337943,3
60,25,6.0,0.0013341573194462519,1 10 50 100 200,0.0001331137795225917,0.0006189547825799144,0.0020181766712829563,0.0021252308285774324,0.0017753105352683641,0.0012525042769914244,0.0008898385566172429,3
61,40,4.0,0.0015919134482846405,1 10 50 100 200,1.7690132003037576e-06,0.00016287591370562387,0.0026473958890580558,0.0029645600259112924,0.0021829663995479266,0.0010768117139311978,0.0038375472362107248,3
62,40,2.0,0.0016204601173818234,1 10 50 100 200,1.30496373706593e-06,0.00012345840158835058,0.0021900587329748145,0.003313559779438391,0.002473918709170495,0.0010052747329426634,0.0029968222619793736,3
63,25,4.0,0.0018465081191558705,1 10 50 100 200,0.00021204368386599733,0.0009384786981190643,0.002910431628538444,0.002838546542093493,0.0023330400431623532,0.0016520199836279723,0.001301391842295266,3
64,25,2.0,0.0020259659954206945,1 10 50 100 200,0.00021445597025520518,0.0009455318730422409,0.003221259456725591,0.0030664067541908042,0.0026821759228896304,0.0015359319991875575,0.0012681294461254463,3
